window_index,window_start,window_end,train_event_count,train_swap_count,train_liquidity_event_count,val_event_count,val_swap_count,skipped_reason,strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,train_rank,validation_rank,train_composite,train_net_return,train_max_drawdown,train_time_in_range,train_episode_count,train_rebalance_count,train_total_fees,train_total_transaction_cost,train_fee_to_transaction_cost_ratio,train_total_price_impact_cost,train_final_value,train_divergent_loss,validation_composite,validation_net_return,validation_max_drawdown,validation_time_in_range,validation_episode_count,validation_rebalance_count,validation_total_fees,validation_total_transaction_cost,validation_fee_to_transaction_cost_ratio,validation_total_price_impact_cost,validation_final_value,validation_divergent_loss
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.01,-0.005,0.0,,1,spot,100.0,450.0,0.015,0.015,False,1,53,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.01,-0.005,0.02,,1,spot,100.0,450.0,0.015,0.015,False,2,54,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.01,-0.005,0.05,,1,spot,100.0,450.0,0.015,0.015,False,3,55,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.01,-0.005,0.1,,1,spot,100.0,450.0,0.015,0.015,False,4,56,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.06,0.01,-0.005,0.0,,1,spot,100.0,450.0,0.015,0.015,False,5,57,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.06,0.01,-0.005,0.02,,1,spot,100.0,450.0,0.015,0.015,False,6,58,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.06,0.01,-0.005,0.05,,1,spot,100.0,450.0,0.015,0.015,False,7,59,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.06,0.01,-0.005,0.1,,1,spot,100.0,450.0,0.015,0.015,False,8,60,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.08,0.01,-0.005,0.0,,1,spot,100.0,450.0,0.015,0.015,False,9,61,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.1,,0.08,0.01,-0.005,0.02,,1,spot,100.0,450.0,0.015,0.015,False,10,62,-0.021390156183682493,0.004073291046740479,0.026315247229528133,0.9933333333333333,6,5,1.2865670605386188,0.5489090470684982,2.343862006665138,0.09504077072724881,451.8329809710332,0.004073291046740479,-0.004679465358832558,-0.002153711268583769,0.0012948748474073538,0.9733333333333334,2,1,0.11600636778769297,0.3972335231052399,0.2920356944722391,0.09019526226289128,449.0308299291373,-0.002153711268583769
