strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_fee_to_tx_cost_ratio,mean_validation_rebalance_count,eligible
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.005,-0.005,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.005,-0.01,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.005,-0.02,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.005,-0.0025,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.005,-0.005,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.005,-0.01,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.005,-0.02,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0020068339659521373,0.0014911972180827737,0.0014911972180827737,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.140544268159021,0.4290819641267698,2.658103494236019,1.5,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.04,0.0025,-0.0025,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0019468978233066502,0.001474503966850782,0.001474503966850782,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.5,1,1.1406204777866,0.44401454144808733,2.568880906617689,2.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.04,0.0025,-0.005,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0019468978233066502,0.001474503966850782,0.001474503966850782,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.1406204777866,0.44401454144808733,2.568880906617689,2.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.04,0.0025,-0.01,0.1,,1,spot,100.0,450.0,0.015,0.015,False,2,0.0019468978233066502,0.001474503966850782,0.001474503966850782,-0.00017704032213794463,0.00012559941065900339,-0.00017704032213794463,0.5,0.0,0,1.1406204777866,0.44401454144808733,2.568880906617689,2.0,True
