strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,composite,net_return,max_drawdown,time_in_range,episode_count,rebalance_count,total_fees,total_transaction_cost,fee_to_transaction_cost_ratio,total_price_impact_cost,final_value,divergent_loss
ewma,volatility,ewma,3.0,0.95,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04424419743462651,-0.0019115832360108165,0.04233261419861569,0.9703153988868275,11,10,4.9386241568900475,4.595124740505814,1.0747530123298508,0.10989207902920839,449.13978754379514,-0.0019115832360108165
ewma,volatility,ewma,3.0,0.95,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04491422288531042,-0.0010490845930447579,0.04386513829226566,0.9802102659245516,12,11,4.701732860714024,4.995124740505815,0.941264353738225,0.10989207902920839,449.5279119331299,-0.0010490845930447579
ewma,volatility,ewma,2.75,0.95,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04580909739216435,-0.001956253678525477,0.04385284371363887,0.9802102659245516,13,12,4.703575787926773,5.395124740505815,0.8718196546250373,0.10989207902920839,449.11968584466354,-0.001956253678525477
ewma,volatility,ewma,3.0,0.975,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04634493040002661,-0.0017314919605114776,0.04461343843951513,0.9678416821273964,14,13,5.174143942531347,5.795124740505815,0.8928442741475368,0.10989207902920839,449.2208286177698,-0.0017314919605114776
ewma,volatility,ewma,2.5,0.95,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04645535422346323,-0.0026871795782044128,0.04376817464525882,0.9684601113172542,13,12,4.87587789630765,5.395124740505815,0.9037562856888675,0.10989207902920839,448.79076918980803,-0.0026871795782044128
ewma,volatility,ewma,3.0,0.95,0.8,False,10.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04693310170394971,-0.0030440147794994488,0.04388908692445026,0.9876314162028448,13,12,4.311952030969979,5.411811568081961,0.7967668453944727,0.11025400248935568,448.63019334922524,-0.0030440147794994488
ewma,volatility,ewma,3.0,0.975,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.047402634948499084,-0.001655302926243274,0.04574733202225581,0.974025974025974,16,15,4.996333683560171,6.595124740505816,0.7575798609044921,0.10989207902920839,449.25511368319053,-0.001655302926243274
ewma,volatility,ewma,2.75,0.95,0.8,False,10.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04757808433427443,-0.0028617648401962903,0.04471631949407814,0.9802102659245516,14,13,4.6996919041126874,5.795124740505815,0.8109733809979187,0.10989207902920839,448.71220582191165,-0.0028617648401962903
ewma,volatility,ewma,3.0,0.975,0.8,False,10.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.0483203410603619,-0.002573009038106089,0.04574733202225581,0.974025974025974,17,16,4.992057958988259,6.995124740505816,0.713648168428128,0.10989207902920839,448.84214593285225,-0.002573009038106089
ewma,volatility,ewma,2.75,0.975,0.3,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04870562058390877,-0.008808015798225988,0.03989760478568278,0.9059987631416203,41,40,11.016530831826978,16.609819750457913,0.6632540868797366,0.06962484946827799,446.0363928907983,-0.008808015798225988
ewma,volatility,ewma,2.75,0.975,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04898161772929373,-0.0032527243687056062,0.04572889336058812,0.9622758194186766,17,16,5.182395500725318,6.995124740505816,0.7408581966689245,0.10989207902920839,448.53627403408245,-0.0032527243687056062
ewma,volatility,ewma,2.75,0.95,0.8,False,5.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04934738908454187,-0.0037674386818891126,0.04557995040265276,0.9802102659245516,15,14,4.695592872605219,6.195124740505816,0.7579496893587708,0.10989207902920839,448.3046525931499,-0.0037674386818891126
ewma,volatility,ewma,3.0,0.975,0.6,False,15.0,,,,,,,,1,spot,100.0,450.0,,,False,-0.04937537553711787,-0.005625644413522535,0.043749731123595335,0.9591836734693877,30,29,8.012240281159011,12.19965685325294,0.6567594791834339,0.10989849347113374,447.46846001391486,-0.005625644413522535
