window_index,window_start,window_end,train_event_count,train_swap_count,train_liquidity_event_count,val_event_count,val_swap_count,skipped_reason,strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,train_rank,validation_rank,train_composite,train_net_return,train_max_drawdown,train_time_in_range,train_episode_count,train_rebalance_count,train_total_fees,train_total_transaction_cost,train_fee_to_transaction_cost_ratio,train_total_price_impact_cost,train_final_value,train_divergent_loss,validation_composite,validation_net_return,validation_max_drawdown,validation_time_in_range,validation_episode_count,validation_rebalance_count,validation_total_fees,validation_total_transaction_cost,validation_fee_to_transaction_cost_ratio,validation_total_price_impact_cost,validation_final_value,validation_divergent_loss
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.001,-0.02,0.0,,1,spot,100.0,1200.0,,,False,1,9,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.001,-0.02,0.02,,1,spot,100.0,1200.0,,,False,2,10,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.001,-0.02,0.05,,1,spot,100.0,1200.0,,,False,3,11,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.001,-0.02,0.1,,1,spot,100.0,1200.0,,,False,4,12,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.0025,-0.02,0.0,,1,spot,100.0,1200.0,,,False,5,13,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.0025,-0.02,0.02,,1,spot,100.0,1200.0,,,False,6,14,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.0025,-0.02,0.05,,1,spot,100.0,1200.0,,,False,7,15,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.0025,-0.02,0.1,,1,spot,100.0,1200.0,,,False,8,16,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.00023248762334971324,0.0002654610462924367,3.2973422942723484e-05,0.96,2,1,0.780553250541062,1.1606951317233531,0.6724877439454132,0.004739149447437359,1200.3185532555508,0.0002654610462924367
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.02,0.0,,1,spot,100.0,1200.0,,,False,9,1,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.0007901103170724885,0.0008184450618118344,2.833474473934589e-05,0.96,1,0,0.7649637096153344,0.9292509271425253,0.8232046773067216,4.302248817640098e-06,1200.9821340741742,0.0008184450618118344
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.02,0.02,,1,spot,100.0,1200.0,,,False,10,2,-0.0157155997769118,-0.006365887655621405,0.009349712121290394,0.99,1,0,1.5916103469535898,1.1819911151081892,1.3465501784316776,0.23602825766545266,1192.3609348132543,-0.006365887655621405,0.0007901103170724885,0.0008184450618118344,2.833474473934589e-05,0.96,1,0,0.7649637096153344,0.9292509271425253,0.8232046773067216,4.302248817640098e-06,1200.9821340741742,0.0008184450618118344
