strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_rebalance_count,eligible
ewma,volatility,ewma,1.25,0.999,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,1.5,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.75,0.999,0.8,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,1.0,0.999,0.6,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,3.0,0.975,0.7,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.005009965686627371,0.0025049828433136856,0.0025049828433136856,0.0025049828433136856,0.0,0.0025049828433136856,1.0,0.0,0,3.238433632312115,1.2431636728075839,2.0,True
ewma,volatility,ewma,2.5,0.95,0.4,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004988671017055246,0.002494335508527623,0.002494335508527623,0.002494335508527623,0.0,0.002494335508527623,1.0,0.0,0,3.5438428887696927,1.061133072326682,1.0,True
ewma,volatility,ewma,2.75,0.95,0.5,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004988671017055246,0.002494335508527623,0.002494335508527623,0.002494335508527623,0.0,0.002494335508527623,1.0,0.0,0,3.5438428887696927,1.061133072326682,1.0,True
ewma,volatility,ewma,3.0,0.95,0.6,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004988671017055246,0.002494335508527623,0.002494335508527623,0.002494335508527623,0.0,0.002494335508527623,1.0,0.0,0,3.5438428887696927,1.061133072326682,1.0,True
ewma,volatility,ewma,2.75,0.95,0.4,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004988671017055246,0.002494335508527623,0.002494335508527623,0.002494335508527623,0.0,0.002494335508527623,1.0,0.0,0,3.5438428887696927,1.061133072326682,1.0,True
ewma,volatility,ewma,3.0,0.975,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004988671017055246,0.002494335508527623,0.002494335508527623,0.002494335508527623,0.0,0.002494335508527623,1.0,0.0,0,3.5438428887696927,1.061133072326682,1.0,True
ewma,volatility,ewma,3.0,0.95,0.5,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004988671017055246,0.002494335508527623,0.002494335508527623,0.002494335508527623,0.0,0.002494335508527623,1.0,0.0,0,3.5438428887696927,1.061133072326682,1.0,True
ewma,volatility,ewma,2.25,0.95,0.4,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004820692069477772,0.002410346034738886,0.002410346034738886,0.002410346034738886,0.0,0.002410346034738886,1.0,0.0,0,3.543854615523852,1.2610412851794826,3.0,True
ewma,volatility,ewma,2.5,0.95,0.4,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004820692069477772,0.002410346034738886,0.002410346034738886,0.002410346034738886,0.0,0.002410346034738886,1.0,0.0,0,3.543854615523852,1.2610412851794826,3.0,True
ewma,volatility,ewma,2.25,0.95,0.5,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004820692069477772,0.002410346034738886,0.002410346034738886,0.002410346034738886,0.0,0.002410346034738886,1.0,0.0,0,3.543854615523852,1.2610412851794826,3.0,True
ewma,volatility,ewma,2.5,0.95,0.5,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004820692069477772,0.002410346034738886,0.002410346034738886,0.002410346034738886,0.0,0.002410346034738886,1.0,0.0,0,3.543854615523852,1.2610412851794826,3.0,True
ewma,volatility,ewma,2.75,0.95,0.5,False,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004352174515794004,0.0026579453989041824,0.0026579453989041824,0.0026579453989041824,0.0004818581410071803,0.0026579453989041824,1.0,1.0,1,4.44570150641412,1.9380279943153644,3.0,True
ewma,volatility,ewma,2.75,0.95,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004352174515794004,0.0026579453989041824,0.0026579453989041824,0.0026579453989041824,0.0004818581410071803,0.0026579453989041824,1.0,0.0,0,4.44570150641412,1.9380279943153644,3.0,True
ewma,volatility,ewma,0.5,0.999,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.00422933423148919,0.002272069846451341,0.002272069846451341,0.001957264385037849,0.0,0.001957264385037849,1.0,0.5,1,2.8973878273787874,2.027548422136137,7.0,True
ewma,volatility,ewma,2.5,0.95,0.8,False,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004212042744625943,0.0021060213723129717,0.0021060213723129717,0.0021060213723129717,0.0,0.0021060213723129717,1.0,0.0,0,2.742305204793715,1.2431636728075839,2.0,True
