strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,unwind_to_cash_on_exit,valid_window_count,mean_train_net_return,mean_validation_net_return,median_validation_net_return,min_validation_net_return,positive_window_rate,mean_validation_max_drawdown,mean_validation_total_fees,mean_validation_transaction_cost,mean_validation_rebalance_count,pool,strategy,method,train_validation_gap,return_percentile_among_positive,consistency_percentile_among_positive,selection_score,rank,mean_train_net_return_pct,mean_validation_net_return_pct,median_validation_net_return_pct,min_validation_net_return_pct,mean_validation_max_drawdown_pct,train_validation_gap_pct,positive_window_rate_pct
ewma,volatility,ewma,2.75,0.95,0.5,False,10.0,,,,,,,,1,spot,100.0,False,1,0.0006030330498902,0.0026579453989041,0.0026579453989041,0.0026579453989041,1.0,0.0004818581410071,4.44570150641412,1.9380279943153644,3.0,uni_base,ewma,Base EWMA,0.0020549123490139,0.9864864864864865,0.7054054054054054,0.9302702702702703,1,0.06030330498902001,0.26579453989041,0.26579453989041,0.26579453989041,0.048185814100709996,0.20549123490139,100.0
ewma,volatility,ewma,2.75,0.95,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0006030330498902,0.0026579453989041,0.0026579453989041,0.0026579453989041,1.0,0.0004818581410071,4.44570150641412,1.9380279943153644,3.0,uni_base,ewma,Base EWMA,0.0020549123490139,0.9864864864864865,0.7054054054054054,0.9302702702702703,2,0.06030330498902001,0.26579453989041,0.26579453989041,0.26579453989041,0.048185814100709996,0.20549123490139,100.0
ewma,volatility,ewma,0.5,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,3,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.5,0.999,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,4,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.5,0.999,0.6,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,5,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.5,0.999,0.7,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,6,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.5,0.999,0.8,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,7,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.75,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,8,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.75,0.999,0.4,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,9,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
ewma,volatility,ewma,0.75,0.999,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,10,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
