window_index,window_start,window_end,train_event_count,train_swap_count,train_liquidity_event_count,val_event_count,val_swap_count,skipped_reason,strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,train_rank,validation_rank,train_composite,train_net_return,train_max_drawdown,train_time_in_range,train_episode_count,train_rebalance_count,train_total_fees,train_total_transaction_cost,train_fee_to_transaction_cost_ratio,train_total_price_impact_cost,train_final_value,train_divergent_loss,validation_composite,validation_net_return,validation_max_drawdown,validation_time_in_range,validation_episode_count,validation_rebalance_count,validation_total_fees,validation_total_transaction_cost,validation_fee_to_transaction_cost_ratio,validation_total_price_impact_cost,validation_final_value,validation_divergent_loss
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,2.5,0.99,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,4,-0.03162192693151212,0.005489376996063333,0.03827716373503236,0.8533333333333334,26,25,3.723136298952719,1.1603324939271502,3.2086805449632356,0.10998249237141522,452.4702196482285,0.005489376996063333,-0.0029264238650027244,-0.001969692929121747,0.0012489416060721943,0.9333333333333333,4,3,0.5661233463387038,0.42267404832290556,1.3393851564461532,1.2934704797999641e-06,449.1136381818952,-0.001969692929121747
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,3.0,0.99,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,2,5,-0.0318296974968101,0.005513343991869313,0.038423334786026796,0.8533333333333334,24,23,3.2410770541523592,1.1003324939271502,2.9455433444347063,0.10998249237141522,452.48100479634115,0.005513343991869313,-0.0029264238650027244,-0.001969692929121747,0.0012489416060721943,0.9333333333333333,4,3,0.5661233463387038,0.42267404832290556,1.3393851564461532,1.2934704797999641e-06,449.1136381818952,-0.001969692929121747
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,2.5,0.99,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,3,14,-0.03194352887927396,0.005666966478679258,0.03847965854727604,0.8033333333333333,38,37,3.6272970103787845,1.520933903439126,2.3849142965231844,0.1099829720254053,452.5501349154057,0.005666966478679258,-0.006379043719053503,-0.0029973820079972624,0.002277372855058212,0.92,5,4,0.16395356735508965,0.49466072219001855,0.331446504645074,0.002096093945919995,448.6511780964012,-0.0029973820079972624
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,2.75,0.99,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,4,6,-0.03199530432054113,0.005309657138986568,0.03844889645091544,0.8533333333333334,26,25,3.642395567537339,1.1603324939271502,3.139096411244708,0.10998249237141522,452.38934571254396,0.005309657138986568,-0.0029264238650027244,-0.001969692929121747,0.0012489416060721943,0.9333333333333333,4,3,0.5661233463387038,0.42267404832290556,1.3393851564461532,1.2934704797999641e-06,449.1136381818952,-0.001969692929121747
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,3.0,0.99,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,5,11,-0.032093688682949796,0.005528552222122007,0.03854402223845495,0.8533333333333334,27,26,2.992215276247169,1.1903324939271502,2.513764256216546,0.10998249237141522,452.4878484999549,0.005528552222122007,-0.002926423865005309,-0.001969692929122635,0.0012489416060730832,0.9333333333333333,4,3,0.5661233463387033,0.4226740483232466,1.3393851564450714,1.2934708208604773e-06,449.1136381818948,-0.001969692929122635
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,2.75,0.99,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,6,15,-0.03217409198160702,0.0053185303655665095,0.03847965854727604,0.8533333333333334,28,27,3.2744815713177085,1.2203324939271503,2.683270000276813,0.10998249237141522,452.3933386645049,0.0053185303655665095,-0.006379043719053503,-0.0029973820079972624,0.002277372855058212,0.92,5,4,0.16395356735508965,0.49466072219001855,0.331446504645074,0.002096093945919995,448.6511780964012,-0.0029973820079972624
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,2.25,0.99,0.6,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,7,2,-0.03230044507206028,0.004798178116677487,0.038320405005482956,0.5833333333333334,26,25,3.939921185888738,1.1611128547627703,3.3932284615811206,0.10998329947117969,452.15918015250486,0.004798178116677487,-0.0013513970428471955,-0.0013051397083910787,0.0006145864053428404,0.9333333333333333,4,3,0.7546374346637138,0.4274803592436903,1.7653148696675527,0.07828996329561984,449.412687131224,-0.0013051397083910787
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,2.75,0.99,0.7,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,8,7,-0.0324411516556881,0.00498460459550687,0.03844889645091544,0.8533333333333334,31,30,3.6471237021900427,1.3110110460589877,2.781916836744901,0.10998310285543333,452.2430720679781,0.00498460459550687,-0.0029264238650027244,-0.001969692929121747,0.0012489416060721943,0.9333333333333333,4,3,0.5661233463387038,0.42267404832290556,1.3393851564461532,1.2934704797999641e-06,449.1136381818952,-0.001969692929121747
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,3.0,0.99,0.7,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,9,8,-0.03270970473282493,0.00469678336330448,0.038423334786026796,0.8533333333333334,29,28,3.458156173814592,1.250931982359005,2.764463793861284,0.10998296889094422,452.11355251348704,0.00469678336330448,-0.0029264238650027244,-0.001969692929121747,0.0012489416060721943,0.9333333333333333,4,3,0.5661233463387038,0.42267404832290556,1.3393851564461532,1.2934704797999641e-06,449.1136381818952,-0.001969692929121747
0,2026-04-23T18:46:49+00:00,2026-04-24T14:22:24+00:00,308,300,8,75,75,,ewma,volatility,ewma,3.0,0.99,0.4,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,10,12,-0.03288872329173256,0.0020752764261438017,0.03657779447753878,0.6666666666666666,14,13,3.420134819092239,0.6810532455590718,5.021831760429649,0.061934025601999565,450.9338743917647,0.0020752764261438017,-0.00317812463288221,-0.002117551583428634,0.001427560027242274,0.9333333333333333,4,3,0.6170162260267168,0.4274803592435198,1.4433791230048663,0.07828996329544931,449.0471017874571,-0.002117551583428634
