sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,train_composite,train_net_return,train_sortino,train_calmar,train_omega,train_max_drawdown,train_time_in_range,train_rebalance_cost_ratio,train_win_rate,train_profit_factor,train_cvar_5,train_return_skew,train_total_fees,train_rebalance_count,train_final_value,val_composite,val_net_return,val_sortino,val_calmar,val_omega,val_max_drawdown,val_time_in_range,val_rebalance_cost_ratio,val_win_rate,val_profit_factor,val_cvar_5,val_return_skew,val_total_fees,val_rebalance_count,val_final_value
3.0,0.975,0.7,True,15.0,-0.011837988742219276,0.00678665357020769,0.4651296197071839,1.4937077815214002,1.0549862787817645,0.018624642312426967,0.9472693032015066,2.4758469503842826,0.5544554455445545,1.0549862787817645,0.010810197951721778,-0.2619071681430055,2.415168415837321,26,1006.7866535702076,-0.4978912855694179,-0.26310332468091757,-8.15175363565212,-6.423005893310847,0.2093887258661437,0.23478796088850035,0.9318801089918256,inf,0.4383561643835616,0.2093887258661437,0.03106995229783834,-1.3859123404731717,0.0,48,736.8966753190824
3.0,0.975,0.3,False,15.0,-0.012943641363881793,-0.002620525096814541,-0.47845449176751925,-0.8860455267064663,0.9431030644253642,0.010323116267067252,0.8851224105461394,2.1424934304993237,0.5247524752475248,0.9431030644253642,0.003637646570959241,-0.23880626447597658,1.9321845464357412,18,997.3794749031855,-0.3742783366263138,-0.19185026590252396,-6.116795956941196,-5.754029548129582,0.16973620912166906,0.18242807072378983,0.7329700272479565,inf,0.4383561643835616,0.16973620912166906,0.03491024796940334,-3.161634171275757,0.0,33,808.1497340974761
3.0,0.99,0.4,False,15.0,-0.013013084950460866,-0.0026328097150813967,-0.46186604275016707,-0.8837378065397056,0.9440598478577631,0.010380275235379469,0.8851224105461394,2.1436507965425298,0.5247524752475248,0.9440598478577631,0.0036816367475103863,-0.4761441686799276,1.9311276314473274,18,997.3671902849186,-0.45654529032242674,-0.24009892021333878,-6.539638333661259,-6.240049739259286,0.15134412650311382,0.21644637010908796,0.7411444141689373,inf,0.4246575342465753,0.15134412650311382,0.03902828526613833,-2.778582139038599,0.0,43,759.9010797866612
2.5,0.975,0.3,False,15.0,-0.01308856254080748,-0.0030355987585855004,-0.6296055405913283,-1.0662002040280683,0.9263801746654468,0.01005296378222198,0.8342749529190208,2.404644370840169,0.5247524752475248,0.9263801746654468,0.003122242896241212,-0.20011247975303054,2.1039863741198395,22,996.9644012414145,-0.30878424457447956,-0.16197961460915145,-6.721668225221194,-5.958124558553371,0.20601878308567562,0.14680462996532812,0.7547683923705722,inf,0.4383561643835616,0.20601878308567562,0.022650571304784133,-1.9576712149123456,0.0,27,838.0203853908486
2.75,0.975,0.3,False,15.0,-0.013147478127587556,-0.002812250321492016,-0.5379284443521319,-0.9546705373586593,0.9366585951555235,0.01033522780609554,0.8587570621468926,2.2341656927902855,0.5247524752475248,0.9366585951555235,0.0034314784788047614,-0.20376034647347796,1.9557965832760764,19,997.187749678508,-0.35091537236223125,-0.18282244772635026,-6.643576501691633,-5.935722581333092,0.17974763828943874,0.168092924635881,0.782016348773842,inf,0.4383561643835616,0.17974763828943874,0.02887619535491544,-2.2807706847926634,0.0,31,817.1775522736498
2.5,0.975,0.7,True,15.0,-0.013241477969346094,0.004195969371060704,0.3135137041075785,1.0466185289366619,1.0371945863737126,0.017437447340406798,0.943502824858757,2.250668466945545,0.5643564356435643,1.0371945863737126,0.010538651183762316,-0.3977256341912381,2.7581399538843745,27,1004.1959693710606,-0.6223896916225591,-0.3284572963161755,-8.948636226193063,-6.686605016699288,0.13865436996706043,0.2939323953063836,0.9155313351498637,inf,0.3698630136986301,0.13865436996706043,0.03778426001318554,-1.7059052072788232,0.0,62,671.5427036838245
3.0,0.975,0.3,False,10.0,-0.013338910464976563,-0.0030855780776202213,-0.5711470551939458,-1.0570994811450485,0.9330497801130317,0.010253332387356342,0.8983050847457628,2.442442534366956,0.5346534653465347,0.9330497801130317,0.003574875286862089,-0.2369253180221893,1.8831693686153868,20,996.9144219223798,-0.45421672191770146,-0.23158780909509835,-6.619620024884953,-5.826616383290181,0.14369837202641358,0.22262891282260314,0.7493188010899182,inf,0.4246575342465753,0.14369837202641358,0.039010502556403336,-3.0228222165413414,0.0,41,768.4121909049016
2.25,0.975,0.7,True,10.0,-0.013354508691343223,0.0033566505734121677,0.2673729544024505,0.8995930038235384,1.031600929145648,0.01671115926475539,0.9416195856873822,2.0053711602932554,0.5445544554455446,1.031600929145648,0.010206369482435518,-0.3724412985964089,2.9802371840112274,26,1003.3566505734123,-0.5082997093942945,-0.27283796527518,-7.490853784818827,-6.666201682635196,0.18406132467158529,0.2354617441191144,0.9155313351498637,inf,0.4246575342465753,0.18406132467158529,0.038614474060960226,-2.097714170313893,0.0,49,727.16203472482
3.0,0.975,0.6,False,10.0,-0.013578388765876203,0.003956638571168902,0.37272664703616054,0.9095214566433533,1.0499200513590266,0.017535027337045105,0.9491525423728814,0.9592035308439686,0.5544554455445545,1.0499200513590266,0.008840455635360378,-0.5711715062740818,2.1581762956656667,9,1003.9566385711688,-0.14778725975544899,-0.07725998620123209,-3.7007192723248714,-5.6046781875675284,0.524557757201291,0.07052727355421688,0.9128065395095368,inf,0.5205479452054794,0.524557757201291,0.02285206353634454,-2.17267731241124,0.0,12,922.7400137987679
3.0,0.99,0.3,False,15.0,-0.013681653066318817,-0.00370425833850363,-0.9873214889216414,-1.328710770170716,0.877122702202756,0.009977394727815187,0.7457627118644068,3.4974191808217343,0.46534653465346537,0.877122702202756,0.0026640873096980267,-0.6773042339930632,1.7094805567694917,26,996.2957416614963,-0.7685462534605096,-0.3917528253712854,-8.28156753135769,-6.478003973714982,0.0779265154328023,0.37679342808922417,0.6839237057220708,inf,0.4246575342465753,0.0779265154328023,0.053362732967547864,-2.2023701772386217,0.0,78,608.2471746287146
2.75,0.99,0.4,False,15.0,-0.013808463634321195,-0.0034778387105818265,-0.6651534080268933,-1.1887712379108832,0.9225501620731364,0.010330624923739368,0.8757062146892656,2.5383645315529266,0.5445544554455446,0.9225501620731364,0.003296233282576999,-0.33239739263530654,1.993139992084235,22,996.5221612894181,-0.4708865317305775,-0.24958867031432475,-6.646040120360771,-6.3813942779743185,0.14298555835819945,0.2212978614162527,0.7329700272479565,inf,0.4246575342465753,0.14298555835819945,0.041068681577358955,-2.730188711415859,0.0,45,750.4113296856752
3.0,0.99,0.7,False,15.0,-0.013855965870397616,0.0036702202950382734,0.3611136486056318,0.8427141287332023,1.0489037111705812,0.01752618616543589,0.9491525423728814,1.007921113893041,0.5544554455445545,1.0489037111705812,0.008483161478400624,-0.6004684403795559,2.2820302611660903,10,1003.6702202950382,-0.2645235263745061,-0.14209522447806466,-4.349468190540814,-6.126126939614887,0.38637010843018665,0.12242830189644145,0.8719346049046321,inf,0.5205479452054794,0.38637010843018665,0.036588328985264505,-2.7176893305149497,0.0,25,857.9047755219353
2.75,0.95,0.3,False,15.0,-0.013862437238521647,-0.002055628251736552,-0.2775765773722744,-0.5825694710254213,0.9662797037065839,0.011806808986785095,0.896421845574388,1.3509753188243752,0.5346534653465347,0.9662797037065839,0.004749212615186948,-0.33539224645512367,2.213214248999652,13,997.9443717482634,-0.1506657682095469,-0.08047989398241173,-5.19293604767945,-5.926509541841617,0.35990453887853596,0.07018587422713518,0.8201634877384196,inf,0.4383561643835616,0.35990453887853596,0.015479684797454948,-2.0831833946160208,0.0,12,919.5201060175883
2.5,0.975,0.4,False,15.0,-0.014095086693311937,-0.0018401181461661364,-0.2387203553592801,-0.49458656682923646,0.9709671491717385,0.0122549685471458,0.896421845574388,1.5666986250099764,0.5346534653465347,0.9709671491717385,0.004934745812859687,-0.29179399532855665,2.3488420290428946,16,998.1598818538339,-0.18691907277168815,-0.10042354356739058,-5.02484723464704,-6.048678602440962,0.3586196835361151,0.08649552920429757,0.7929155313351499,inf,0.4794520547945205,0.3586196835361151,0.020273361129367062,-2.257192704991595,0.0,16,899.5764564326095
3.0,0.95,0.5,True,15.0,-0.014327760007942432,0.0004879101048018697,0.08147253318746557,0.2528804680725607,1.0094571117051605,0.014815670112744301,0.9585687382297552,1.720145476146921,0.5346534653465347,1.0094571117051605,0.008473420212663018,-0.2235980950503304,2.006416796699654,15,1000.4879101048018,-0.2724419264211818,-0.1414863315530709,-6.127361601812673,-5.759852038144825,0.3112077492641795,0.1309555948681109,0.9373297002724795,inf,0.4520547945205479,0.3112077492641795,0.024420582097998172,-1.8313029170601578,0.0,22,858.5136684469292
2.5,0.95,0.6,True,15.0,-0.014428769103178533,0.003146690555932752,0.2625016774057853,0.7983218235742345,1.0308914204941937,0.017575459659111285,0.9510357815442562,1.647266517797029,0.5544554455445545,1.0308914204941937,0.00992274106992248,-0.2591292969056721,2.791550324394732,20,1003.1466905559328,-0.3488200240872238,-0.18476393649732537,-7.204161823222835,-6.159876913880753,0.2408554680804834,0.16405608758989842,0.9318801089918256,inf,0.410958904109589,0.2408554680804834,0.025590382183028077,-1.6984192464622114,0.0,29,815.2360635026746
2.75,0.99,0.7,False,15.0,-0.01446111906066214,0.0030253354082925288,0.32181566784273374,0.6994703180992864,1.0446630812067814,0.01748645446895467,0.9397363465160076,1.1387857082953547,0.5544554455445545,1.0446630812067814,0.007905410228117749,-0.6571358333772785,2.4236510328427725,12,1003.0253354082926,-0.27310831760673704,-0.14591944887262653,-4.413049626800828,-6.0693820939049115,0.3712171360989609,0.12718886873411048,0.8392370572207084,inf,0.5068493150684932,0.3712171360989609,0.03658832898526428,-2.71137333341623,0.0,26,854.0805511273735
