sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,train_composite,train_net_return,train_sortino,train_calmar,train_omega,train_max_drawdown,train_time_in_range,train_rebalance_cost_ratio,train_win_rate,train_profit_factor,train_cvar_5,train_return_skew,train_total_fees,train_rebalance_count,train_final_value,val_composite,val_net_return,val_sortino,val_calmar,val_omega,val_max_drawdown,val_time_in_range,val_rebalance_cost_ratio,val_win_rate,val_profit_factor,val_cvar_5,val_return_skew,val_total_fees,val_rebalance_count,val_final_value
3.0,0.975,0.4,False,15.0,-0.044763140588715486,0.005306330093385103,0.20158094467739274,0.307931863921566,1.040483016819416,0.05006947068210059,0.9648576512455516,1.389656231001302,0.6982248520710059,1.040483016819416,0.014657417224387514,-3.976055069991251,3.2449393506559323,12,502.6531650466926,-0.05181820413369996,-0.006401166786588641,-0.19260220694090963,-0.27850535418083444,0.9774125667619761,0.04541703734711132,0.9205515430072226,0.19275414574487806,0.5142857142857142,0.9774125667619761,0.012286568636136213,-0.09344246507183063,5.756910297434696,9,496.7994166067057
2.75,0.975,0.3,False,10.0,-0.05143336900688202,0.00012692590518370572,0.058993605671651114,0.09570028290268533,1.0115064508611888,0.05156029491206573,0.9773131672597865,1.9290909245794339,0.7041420118343196,1.0115064508611888,0.01659473578744218,-3.7649262175730094,2.649201387337729,17,500.0634629525918,-0.04138987508921643,0.0005548588919668251,0.08517791280061916,0.1323761469399123,1.0102001481336782,0.04194473398118326,0.9264609323703218,0.39931185016114246,0.5285714285714286,1.0102001481336782,0.012441128950953046,0.02374186813763355,6.166003077478856,20,500.27742944598344
1.5,0.99,0.3,False,10.0,-0.051664695877501395,0.009878427155337821,0.3217172265875923,0.42143619386699144,1.05811887957819,0.061543123032839216,0.8518683274021353,5.064123338214684,0.6863905325443787,1.05811887957819,0.015037631551813105,-3.28982298603836,2.9950301019382173,76,504.9392135776689,-0.11989195831778272,-0.05528993607335364,-1.903972986452977,-2.223634272402122,0.7628143430618977,0.06460202224442908,0.8108995403808273,2.9577374240740024,0.4857142857142857,0.7628143430618977,0.014144107025563584,-0.34200077740600887,7.552596658363778,160,472.3550319633232
2.0,0.95,0.4,False,15.0,-0.05333842819992113,-0.004118264733492638,-0.06760953249165168,-0.10359488463742728,0.9863218143439373,0.04922016346642849,0.9710854092526691,1.2603001837664893,0.6982248520710059,0.9863218143439373,0.01463817219253613,-4.0143782569682545,3.7586875071228003,14,497.9408676332537,-0.05616751354305136,-0.01810631646081573,-0.7136220175336215,-1.1617168396906277,0.9107113952645397,0.03806119708223563,0.8456992777413,0.2649833130249507,0.5214285714285715,0.9107113952645397,0.011959016078808163,-0.28160273010235953,8.388118278391525,18,490.94684176959214
2.25,0.95,0.4,False,15.0,-0.05406109935604576,-0.004869308875084188,-0.05331544581547092,-0.10060164368283972,0.9893573113576136,0.04919179048096157,0.9875444839857651,1.385627345852028,0.7041420118343196,0.9893573113576136,0.01798729899820206,-4.045988455696476,3.0608452880815054,10,497.5653455624579,-0.07319460136457251,-0.03320502538154435,-1.3711096853397515,-2.1205528203081125,0.8305466136229266,0.03998957598302815,0.8745896257386737,0.24001359121660232,0.5,0.8305466136229266,0.011975520762482,-0.3425927204286627,8.218137273868368,16,483.3974873092278
2.25,0.95,0.4,False,10.0,-0.05428594769284105,-0.004879788075803582,-0.053234407484470364,-0.10021783485298963,0.9893625196809491,0.04940615961703747,0.9857651245551602,1.3880559440294518,0.7041420118343196,0.9893625196809491,0.01801442196427923,-4.057092014118633,3.0555391364265168,10,497.5601059620982,-0.05643812567006589,-0.01784362591960631,-0.700214510891987,-1.1273187642708369,0.9129207229373354,0.03859449975045958,0.9001969796454367,0.277330999991205,0.5214285714285715,0.9129207229373354,0.011867010522466128,-0.3031062954542251,8.021211874495522,18,491.07818704019684
2.25,0.95,0.4,False,3.0,-0.05549191025600421,-0.007182206433796412,-0.11275066919933796,-0.21196561630272076,0.9774917660135184,0.0483097038222078,0.9924377224199288,1.5454338077126637,0.7041420118343196,0.9774917660135184,0.017585711245656624,-4.095239724940241,2.979254035927809,13,496.4088967831018,-0.06858163716565172,-0.028915652762002808,-1.2300997862254484,-1.852479325741998,0.8488203449908658,0.0396659844036489,0.9625738673670388,0.7387915054457735,0.5214285714285715,0.8488203449908658,0.011406932466041566,-0.4091082328555445,7.976659320388614,24,485.5421736189986
2.5,0.95,0.5,False,1.0,-0.0562004430001481,-0.008504559057475936,-0.19989015077284067,-0.31176698990960855,0.9593987290953488,0.047695883942672164,0.9928825622775801,1.2864540322823663,0.7041420118343196,0.9593987290953488,0.014760202390769903,-4.1884045998732296,3.5741810903659967,13,495.747720471262,-0.07294306212848428,-0.03424769058851551,-1.62401474949774,-2.288297614101998,0.7924341902521943,0.03869537153996877,0.9789888378200919,0.3885839644272059,0.5071428571428571,0.7924341902521943,0.010492449232216752,-0.9177844129472095,7.606242036888683,24,482.87615470574224
2.5,0.95,0.5,False,5.0,-0.05667388587149745,-0.008177248604062215,-0.18715807449739932,-0.29039702825231034,0.9617315768704718,0.048496637267435236,0.9897686832740213,1.21890957501842,0.7041420118343196,0.9617315768704718,0.014861498035554255,-4.283252161806688,3.5687931038252763,11,495.9113756979689,-0.08250212102051645,-0.041093271181300794,-1.8068680925816736,-2.5756614448150756,0.7716538675867861,0.04140884983921565,0.9409061063690085,0.36722916501874586,0.5,0.7716538675867861,0.011191021579129434,-0.8109944321611654,7.706923332927049,23,479.4533644093496
1.5,0.99,0.3,False,15.0,-0.05711595178488204,0.0034675769665823974,0.14864749264629037,0.19397584471960427,1.0294670844800646,0.06058352875146444,0.9377224199288257,3.799047162003482,0.6863905325443787,1.0294670844800646,0.015047625571224618,-3.919331559212616,2.9036659518257233,66,501.7337884832912,-0.10577662260932003,-0.04497330219746476,-1.555542886114546,-1.8966916242341794,0.8032009000960153,0.060803320411855266,0.7905449770190414,2.1609690784821356,0.4928571428571429,0.8032009000960153,0.01398412064040601,-0.1864815304929397,7.44552024848319,132,477.51334890126765
2.5,0.95,0.5,False,3.0,-0.0582153731377631,-0.010519489195090936,-0.25841521426999015,-0.40370342574487333,0.9478625625650416,0.047695883942672164,0.9897686832740213,1.3157318239836209,0.7041420118343196,0.9478625625650416,0.014760202390769903,-4.1679537595539795,3.4947970670494115,13,494.7402554024545,-0.07297103794279061,-0.03560389962185562,-1.6482179259561527,-2.4630163487197225,0.7921477836714002,0.037367138320935,0.9697964543663822,0.37820927903838747,0.5071428571428571,0.7921477836714002,0.010603779050622058,-0.7567827649918989,7.816471267539572,24,482.1980501890722
2.5,0.95,0.5,False,10.0,-0.058356508632963364,-0.009859871365528128,-0.23605846852474652,-0.36620960157161425,0.9516918967216553,0.048496637267435236,0.9879893238434164,1.2495229600715914,0.7041420118343196,0.9516918967216553,0.014861498035554255,-4.296825880616696,3.2821935531341007,9,495.07006431723596,-0.058943596780764544,-0.020431827627057975,-0.8670342554410352,-1.3217075350453211,0.8892743935310942,0.03851176915370657,0.8739330269205515,0.2280215638317171,0.5285714285714286,0.8892743935310942,0.011035632660888852,-0.6678136678401742,7.58724546550174,14,489.78408618647103
2.5,0.95,0.5,False,15.0,-0.0594635297375767,-0.011966304503514769,-0.30209930334875706,-0.47244455788879103,0.9393476188256057,0.047497225234061934,0.9857651245551602,1.2579822459945678,0.6982248520710059,0.9393476188256057,0.014735065034970699,-4.152451505857546,3.1618341599093203,8,494.01684774824264,-0.04312188689025891,-0.007742699669482711,-0.2923634685556677,-0.4815296767209437,0.9634895996514765,0.0353791872207762,0.9284307288246881,0.15682325918869244,0.5285714285714286,0.9634895996514765,0.011000427957495737,0.004624272962180211,7.917457016648978,10,496.12865016525865
2.0,0.95,0.4,False,10.0,-0.06000727804858038,-0.010588196275564732,-0.2551724559598722,-0.38926401942492056,0.9503588950735854,0.04941908177301565,0.9790925266903915,1.9124664747939268,0.6982248520710059,0.9503588950735854,0.014804531957140613,-4.057711303853605,4.159320484524504,16,494.7059018622176,-0.07043152573158118,-0.03134711802054424,-1.338655734334533,-2.047752248529713,0.8341390645531234,0.03908440771103694,0.9363099146421536,0.7220627663431892,0.5214285714285715,0.8341390645531234,0.011528432438338945,-0.42805172800482155,8.322233583142904,25,484.32644098972787
2.5,0.975,0.3,False,5.0,-0.0607228524615938,-0.009046821782249137,-0.20512824697140625,-0.30415924181741705,0.9604452534710033,0.05167603067934466,0.9817615658362989,2.423997396439413,0.6863905325443787,0.9604452534710033,0.014867367736388762,-4.01840433779725,3.8445702613994492,27,495.47658910887543,-0.052011513416210235,-0.008001884789541114,-0.2511912874155737,-0.3813973681114119,0.9699532439875933,0.04400962862666912,0.9389363099146422,0.6919049605686661,0.5285714285714286,0.9699532439875933,0.012637678438442641,-0.0790283168241076,6.391981449792098,36,495.99905760522944
